name,location,cuisines,rate,cost_for_two,votes
CTR,Malleshwaram,South Indian,4.8,150.0,4421
CTR,Malleshwaram,South Indian,4.8,150.0,4421
Brahmin's Coffee Bar,Basavanagudi,South Indian,4.8,100.0,2679
O.G. Variar & Sons,Rajajinagar,"Bakery, Desserts",4.8,200.0,1161
O.G. Variar & Sons,Rajajinagar,"Bakery, Desserts",4.8,200.0,1156
CTR,Malleshwaram,South Indian,4.7,150.0,4408
CTR,Malleshwaram,South Indian,4.7,150.0,4408
Taaza Thindi,Banashankari,South Indian,4.7,100.0,651
Natural Ice Cream,Indiranagar,"Ice Cream, Beverages",4.6,200.0,945
Natural Ice Cream,Indiranagar,"Ice Cream, Desserts",4.6,150.0,922
